Video_url,action
E:/Project 103/Trimmed Data\NoAction/NoAction_59.mp4,NoAction
E:/Project 103/Trimmed Data\NoAction/NoAction_51.mp4,NoAction
E:/Project 103/Trimmed Data\NoAction/NoAction_66.mp4,NoAction
E:/Project 103/Trimmed Data\kill/Kill_23.mp4,kill
E:/Project 103/Trimmed Data\kill/Kill_64.mp4,kill
E:/Project 103/Trimmed Data\death/death_44.mp4,death
E:/Project 103/Trimmed Data\NoAction/NoAction_84.mp4,NoAction
E:/Project 103/Trimmed Data\kill/Kill_14.mp4,kill
E:/Project 103/Trimmed Data\death/death_38.mp4,death
E:/Project 103/Trimmed Data\kill/Kill_26.mp4,kill
E:/Project 103/Trimmed Data\death/death_79.mp4,death
E:/Project 103/Trimmed Data\death/death_73.mp4,death
E:/Project 103/Trimmed Data\kill/Kill_95.mp4,kill
E:/Project 103/Trimmed Data\NoAction/NoAction_73.mp4,NoAction
E:/Project 103/Trimmed Data\death/death_25.mp4,death
E:/Project 103/Trimmed Data\kill/Kill_7.mp4,kill
E:/Project 103/Trimmed Data\death/death_43.mp4,death
E:/Project 103/Trimmed Data\kill/Kill_71.mp4,kill
E:/Project 103/Trimmed Data\NoAction/NoAction_85.mp4,NoAction
E:/Project 103/Trimmed Data\death/death_35.mp4,death
E:/Project 103/Trimmed Data\NoAction/NoAction_21.mp4,NoAction
E:/Project 103/Trimmed Data\NoAction/NoAction_79.mp4,NoAction
E:/Project 103/Trimmed Data\death/death_77.mp4,death
E:/Project 103/Trimmed Data\death/death_96.mp4,death
E:/Project 103/Trimmed Data\NoAction/NoAction_61.mp4,NoAction
E:/Project 103/Trimmed Data\NoAction/NoAction_12.mp4,NoAction
E:/Project 103/Trimmed Data\death/death_81.mp4,death
E:/Project 103/Trimmed Data\NoAction/NoAction_56.mp4,NoAction
E:/Project 103/Trimmed Data\kill/Kill_34.mp4,kill
E:/Project 103/Trimmed Data\kill/Kill_55.mp4,kill
E:/Project 103/Trimmed Data\NoAction/NoAction_34.mp4,NoAction
E:/Project 103/Trimmed Data\NoAction/NoAction_78.mp4,NoAction
E:/Project 103/Trimmed Data\kill/Kill_18.mp4,kill
E:/Project 103/Trimmed Data\death/death_19.mp4,death
E:/Project 103/Trimmed Data\NoAction/NoAction_99.mp4,NoAction
E:/Project 103/Trimmed Data\NoAction/NoAction_67.mp4,NoAction
E:/Project 103/Trimmed Data\NoAction/NoAction_13.mp4,NoAction
E:/Project 103/Trimmed Data\death/death_90.mp4,death
E:/Project 103/Trimmed Data\kill/Kill_28.mp4,kill
E:/Project 103/Trimmed Data\kill/Kill_12.mp4,kill
E:/Project 103/Trimmed Data\NoAction/NoAction_28.mp4,NoAction
E:/Project 103/Trimmed Data\death/death_58.mp4,death
E:/Project 103/Trimmed Data\death/death_67.mp4,death
E:/Project 103/Trimmed Data\death/death_85.mp4,death
E:/Project 103/Trimmed Data\NoAction/NoAction_96.mp4,NoAction
E:/Project 103/Trimmed Data\kill/Kill_19.mp4,kill
E:/Project 103/Trimmed Data\death/death_47.mp4,death
E:/Project 103/Trimmed Data\kill/Kill_38.mp4,kill
E:/Project 103/Trimmed Data\death/death_95.mp4,death
E:/Project 103/Trimmed Data\NoAction/NoAction_32.mp4,NoAction
E:/Project 103/Trimmed Data\NoAction/NoAction_95.mp4,NoAction
E:/Project 103/Trimmed Data\death/death_56.mp4,death
E:/Project 103/Trimmed Data\kill/Kill_83.mp4,kill
E:/Project 103/Trimmed Data\death/death_16.mp4,death
E:/Project 103/Trimmed Data\NoAction/NoAction_63.mp4,NoAction
E:/Project 103/Trimmed Data\kill/Kill_96.mp4,kill
E:/Project 103/Trimmed Data\NoAction/NoAction_60.mp4,NoAction
E:/Project 103/Trimmed Data\NoAction/NoAction_8.mp4,NoAction
E:/Project 103/Trimmed Data\kill/Kill_44.mp4,kill
E:/Project 103/Trimmed Data\NoAction/NoAction_1.mp4,NoAction
E:/Project 103/Trimmed Data\kill/Kill_65.mp4,kill
E:/Project 103/Trimmed Data\death/death_30.mp4,death
E:/Project 103/Trimmed Data\kill/Kill_79.mp4,kill
E:/Project 103/Trimmed Data\kill/Kill_81.mp4,kill
E:/Project 103/Trimmed Data\NoAction/NoAction_97.mp4,NoAction
E:/Project 103/Trimmed Data\death/death_61.mp4,death
E:/Project 103/Trimmed Data\kill/Kill_35.mp4,kill
E:/Project 103/Trimmed Data\kill/Kill_61.mp4,kill
E:/Project 103/Trimmed Data\NoAction/NoAction_80.mp4,NoAction
E:/Project 103/Trimmed Data\NoAction/NoAction_22.mp4,NoAction
E:/Project 103/Trimmed Data\death/death_42.mp4,death
E:/Project 103/Trimmed Data\kill/Kill_86.mp4,kill
E:/Project 103/Trimmed Data\kill/Kill_80.mp4,kill
E:/Project 103/Trimmed Data\NoAction/NoAction_72.mp4,NoAction
E:/Project 103/Trimmed Data\death/death_32.mp4,death
E:/Project 103/Trimmed Data\death/death_83.mp4,death
E:/Project 103/Trimmed Data\kill/Kill_29.mp4,kill
E:/Project 103/Trimmed Data\kill/Kill_92.mp4,kill
E:/Project 103/Trimmed Data\kill/Kill_8.mp4,kill
E:/Project 103/Trimmed Data\death/death_21.mp4,death
E:/Project 103/Trimmed Data\NoAction/NoAction_82.mp4,NoAction
E:/Project 103/Trimmed Data\death/death_34.mp4,death
E:/Project 103/Trimmed Data\death/death_101.mp4,death
E:/Project 103/Trimmed Data\kill/Kill_57.mp4,kill
E:/Project 103/Trimmed Data\NoAction/NoAction_11.mp4,NoAction
E:/Project 103/Trimmed Data\death/death_72.mp4,death
E:/Project 103/Trimmed Data\death/death_23.mp4,death
E:/Project 103/Trimmed Data\NoAction/NoAction_46.mp4,NoAction
E:/Project 103/Trimmed Data\kill/Kill_87.mp4,kill
E:/Project 103/Trimmed Data\death/death_51.mp4,death
E:/Project 103/Trimmed Data\NoAction/NoAction_93.mp4,NoAction
E:/Project 103/Trimmed Data\kill/Kill_94.mp4,kill
E:/Project 103/Trimmed Data\death/death_46.mp4,death
E:/Project 103/Trimmed Data\death/death_13.mp4,death
E:/Project 103/Trimmed Data\death/death_8.mp4,death
E:/Project 103/Trimmed Data\NoAction/NoAction_91.mp4,NoAction
E:/Project 103/Trimmed Data\death/death_52.mp4,death
E:/Project 103/Trimmed Data\kill/Kill_17.mp4,kill
E:/Project 103/Trimmed Data\kill/Kill_75.mp4,kill
E:/Project 103/Trimmed Data\death/death_102.mp4,death
E:/Project 103/Trimmed Data\NoAction/NoAction_100.mp4,NoAction
E:/Project 103/Trimmed Data\death/death_89.mp4,death
E:/Project 103/Trimmed Data\kill/Kill_68.mp4,kill
E:/Project 103/Trimmed Data\death/death_64.mp4,death
