Video_url,action
E:/Project 103/Trimmed Data\death/death_43.mp4,death
E:/Project 103/Trimmed Data\NoAction/NoAction_76.mp4,NoAction
E:/Project 103/Trimmed Data\smoke/smoke_5 .mp4,smoke
E:/Project 103/Trimmed Data\NoAction/NoAction_0.mp4,NoAction
E:/Project 103/Trimmed Data\death/death_80.mp4,death
E:/Project 103/Trimmed Data\NoAction/NoAction_10.mp4,NoAction
E:/Project 103/Trimmed Data\NoAction/NoAction_42.mp4,NoAction
E:/Project 103/Trimmed Data\NoAction/NoAction_35.mp4,NoAction
E:/Project 103/Trimmed Data\NoAction/NoAction_8.mp4,NoAction
E:/Project 103/Trimmed Data\kill/Kill_48.mp4,kill
E:/Project 103/Trimmed Data\death/death_90.mp4,death
E:/Project 103/Trimmed Data\smoke/smoke_62 .mp4,smoke
E:/Project 103/Trimmed Data\smoke/smoke_33 .mp4,smoke
E:/Project 103/Trimmed Data\kill/Kill_56.mp4,kill
E:/Project 103/Trimmed Data\NoAction/NoAction_12.mp4,NoAction
E:/Project 103/Trimmed Data\NoAction/NoAction_92.mp4,NoAction
E:/Project 103/Trimmed Data\kill/Kill_75.mp4,kill
E:/Project 103/Trimmed Data\kill/Kill_13.mp4,kill
E:/Project 103/Trimmed Data\smoke/smoke_50 .mp4,smoke
E:/Project 103/Trimmed Data\kill/Kill_103.mp4,kill
E:/Project 103/Trimmed Data\kill/Kill_100.mp4,kill
E:/Project 103/Trimmed Data\kill/Kill_11.mp4,kill
E:/Project 103/Trimmed Data\NoAction/NoAction_66.mp4,NoAction
E:/Project 103/Trimmed Data\death/death_84.mp4,death
E:/Project 103/Trimmed Data\NoAction/NoAction_33.mp4,NoAction
E:/Project 103/Trimmed Data\death/death_53.mp4,death
E:/Project 103/Trimmed Data\smoke/smoke_58 .mp4,smoke
E:/Project 103/Trimmed Data\smoke/smoke_90 .mp4,smoke
E:/Project 103/Trimmed Data\kill/Kill_46.mp4,kill
E:/Project 103/Trimmed Data\kill/Kill_90.mp4,kill
E:/Project 103/Trimmed Data\death/death_88.mp4,death
E:/Project 103/Trimmed Data\kill/Kill_38.mp4,kill
E:/Project 103/Trimmed Data\NoAction/NoAction_100.mp4,NoAction
E:/Project 103/Trimmed Data\NoAction/NoAction_41.mp4,NoAction
E:/Project 103/Trimmed Data\death/death_35.mp4,death
E:/Project 103/Trimmed Data\death/death_78.mp4,death
E:/Project 103/Trimmed Data\NoAction/NoAction_53.mp4,NoAction
E:/Project 103/Trimmed Data\smoke/smoke_107 .mp4,smoke
E:/Project 103/Trimmed Data\smoke/smoke_97 .mp4,smoke
E:/Project 103/Trimmed Data\smoke/smoke_36 .mp4,smoke
E:/Project 103/Trimmed Data\smoke/smoke_15 .mp4,smoke
E:/Project 103/Trimmed Data\death/death_31.mp4,death
E:/Project 103/Trimmed Data\NoAction/NoAction_50.mp4,NoAction
E:/Project 103/Trimmed Data\NoAction/NoAction_25.mp4,NoAction
E:/Project 103/Trimmed Data\NoAction/NoAction_74.mp4,NoAction
E:/Project 103/Trimmed Data\death/death_73.mp4,death
E:/Project 103/Trimmed Data\death/death_49.mp4,death
E:/Project 103/Trimmed Data\death/death_23.mp4,death
E:/Project 103/Trimmed Data\kill/Kill_64.mp4,kill
E:/Project 103/Trimmed Data\NoAction/NoAction_73.mp4,NoAction
E:/Project 103/Trimmed Data\death/death_89.mp4,death
E:/Project 103/Trimmed Data\smoke/smoke_45 .mp4,smoke
E:/Project 103/Trimmed Data\NoAction/NoAction_7.mp4,NoAction
E:/Project 103/Trimmed Data\death/death_18.mp4,death
E:/Project 103/Trimmed Data\smoke/smoke_87 .mp4,smoke
E:/Project 103/Trimmed Data\NoAction/NoAction_19.mp4,NoAction
E:/Project 103/Trimmed Data\NoAction/NoAction_84.mp4,NoAction
E:/Project 103/Trimmed Data\smoke/smoke_83 .mp4,smoke
E:/Project 103/Trimmed Data\death/death_79.mp4,death
E:/Project 103/Trimmed Data\NoAction/NoAction_15.mp4,NoAction
E:/Project 103/Trimmed Data\NoAction/NoAction_72.mp4,NoAction
E:/Project 103/Trimmed Data\death/death_72.mp4,death
E:/Project 103/Trimmed Data\smoke/smoke_95 .mp4,smoke
E:/Project 103/Trimmed Data\kill/Kill_31.mp4,kill
E:/Project 103/Trimmed Data\kill/Kill_84.mp4,kill
E:/Project 103/Trimmed Data\death/death_7.mp4,death
E:/Project 103/Trimmed Data\death/death_99.mp4,death
E:/Project 103/Trimmed Data\NoAction/NoAction_60.mp4,NoAction
E:/Project 103/Trimmed Data\death/death_27.mp4,death
E:/Project 103/Trimmed Data\kill/Kill_66.mp4,kill
E:/Project 103/Trimmed Data\smoke/smoke_65 .mp4,smoke
E:/Project 103/Trimmed Data\kill/Kill_34.mp4,kill
E:/Project 103/Trimmed Data\smoke/smoke_70 .mp4,smoke
E:/Project 103/Trimmed Data\kill/Kill_28.mp4,kill
E:/Project 103/Trimmed Data\NoAction/NoAction_57.mp4,NoAction
E:/Project 103/Trimmed Data\NoAction/NoAction_90.mp4,NoAction
E:/Project 103/Trimmed Data\death/death_74.mp4,death
E:/Project 103/Trimmed Data\smoke/smoke_68 .mp4,smoke
E:/Project 103/Trimmed Data\smoke/smoke_18 .mp4,smoke
E:/Project 103/Trimmed Data\NoAction/NoAction_21.mp4,NoAction
E:/Project 103/Trimmed Data\smoke/smoke_3 .mp4,smoke
E:/Project 103/Trimmed Data\death/death_30.mp4,death
E:/Project 103/Trimmed Data\NoAction/NoAction_29.mp4,NoAction
E:/Project 103/Trimmed Data\kill/Kill_21.mp4,kill
E:/Project 103/Trimmed Data\smoke/smoke_24 .mp4,smoke
E:/Project 103/Trimmed Data\NoAction/NoAction_1.mp4,NoAction
E:/Project 103/Trimmed Data\kill/Kill_69.mp4,kill
E:/Project 103/Trimmed Data\NoAction/NoAction_6.mp4,NoAction
E:/Project 103/Trimmed Data\smoke/smoke_9 .mp4,smoke
E:/Project 103/Trimmed Data\NoAction/NoAction_38.mp4,NoAction
E:/Project 103/Trimmed Data\smoke/smoke_74 .mp4,smoke
E:/Project 103/Trimmed Data\NoAction/NoAction_82.mp4,NoAction
E:/Project 103/Trimmed Data\NoAction/NoAction_39.mp4,NoAction
E:/Project 103/Trimmed Data\NoAction/NoAction_52.mp4,NoAction
E:/Project 103/Trimmed Data\NoAction/NoAction_16.mp4,NoAction
E:/Project 103/Trimmed Data\kill/Kill_52.mp4,kill
E:/Project 103/Trimmed Data\death/death_6.mp4,death
E:/Project 103/Trimmed Data\smoke/smoke_69 .mp4,smoke
E:/Project 103/Trimmed Data\kill/Kill_68.mp4,kill
E:/Project 103/Trimmed Data\kill/Kill_16.mp4,kill
E:/Project 103/Trimmed Data\NoAction/NoAction_69.mp4,NoAction
E:/Project 103/Trimmed Data\NoAction/NoAction_40.mp4,NoAction
E:/Project 103/Trimmed Data\kill/Kill_86.mp4,kill
E:/Project 103/Trimmed Data\NoAction/NoAction_98.mp4,NoAction
E:/Project 103/Trimmed Data\NoAction/NoAction_49.mp4,NoAction
E:/Project 103/Trimmed Data\kill/Kill_92.mp4,kill
E:/Project 103/Trimmed Data\kill/Kill_63.mp4,kill
E:/Project 103/Trimmed Data\smoke/smoke_105 .mp4,smoke
E:/Project 103/Trimmed Data\smoke/smoke_56 .mp4,smoke
E:/Project 103/Trimmed Data\smoke/smoke_17 .mp4,smoke
E:/Project 103/Trimmed Data\NoAction/NoAction_88.mp4,NoAction
E:/Project 103/Trimmed Data\smoke/smoke_96 .mp4,smoke
E:/Project 103/Trimmed Data\kill/Kill_78.mp4,kill
E:/Project 103/Trimmed Data\death/death_3.mp4,death
E:/Project 103/Trimmed Data\death/death_24.mp4,death
E:/Project 103/Trimmed Data\smoke/smoke_32 .mp4,smoke
E:/Project 103/Trimmed Data\kill/Kill_12.mp4,kill
E:/Project 103/Trimmed Data\NoAction/NoAction_24.mp4,NoAction
E:/Project 103/Trimmed Data\smoke/smoke_84 .mp4,smoke
E:/Project 103/Trimmed Data\kill/Kill_91.mp4,kill
E:/Project 103/Trimmed Data\death/death_11.mp4,death
E:/Project 103/Trimmed Data\death/death_87.mp4,death
E:/Project 103/Trimmed Data\NoAction/NoAction_5.mp4,NoAction
E:/Project 103/Trimmed Data\kill/Kill_65.mp4,kill
E:/Project 103/Trimmed Data\death/death_44.mp4,death
E:/Project 103/Trimmed Data\kill/Kill_36.mp4,kill
E:/Project 103/Trimmed Data\death/death_15.mp4,death
E:/Project 103/Trimmed Data\smoke/smoke_100 .mp4,smoke
E:/Project 103/Trimmed Data\smoke/smoke_41 .mp4,smoke
E:/Project 103/Trimmed Data\smoke/smoke_60 .mp4,smoke
E:/Project 103/Trimmed Data\kill/Kill_71.mp4,kill
E:/Project 103/Trimmed Data\NoAction/NoAction_17.mp4,NoAction
E:/Project 103/Trimmed Data\NoAction/NoAction_56.mp4,NoAction
E:/Project 103/Trimmed Data\death/death_100.mp4,death
E:/Project 103/Trimmed Data\smoke/smoke_16 .mp4,smoke
E:/Project 103/Trimmed Data\smoke/smoke_59 .mp4,smoke
E:/Project 103/Trimmed Data\smoke/smoke_39 .mp4,smoke
E:/Project 103/Trimmed Data\NoAction/NoAction_32.mp4,NoAction
E:/Project 103/Trimmed Data\smoke/smoke_75 .mp4,smoke
E:/Project 103/Trimmed Data\kill/Kill_77.mp4,kill
E:/Project 103/Trimmed Data\smoke/smoke_104 .mp4,smoke
E:/Project 103/Trimmed Data\death/death_59.mp4,death
E:/Project 103/Trimmed Data\smoke/smoke_29 .mp4,smoke
E:/Project 103/Trimmed Data\NoAction/NoAction_34.mp4,NoAction
