Video_url,action
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\smoke/smoke_74 .mp4,smoke
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\death/death_51 .mp4,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\smoke/smoke_54 .mp4,smoke
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/NoAction_112 .mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\smoke/smoke_63 .mp4,smoke
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/NoAction_105 .mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_134 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\smoke/smoke_103 .mp4,smoke
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\smoke/smoke_16 .mp4,smoke
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_140 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\smoke/smoke_1 .mp4,smoke
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_21 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\death/death_67 .mp4,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_65 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_145 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_55 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\death/death_111 .mp4,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/NoAction_24 .mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\death/death_83 .mp4,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\death/death_113 .mp4,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/NoAction_29 .mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\smoke/smoke_102 .mp4,smoke
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\smoke/smoke_15 .mp4,smoke
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\smoke/smoke_28 .mp4,smoke
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\death/death_76 .mp4,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_44 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\death/death_79 .mp4,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/NoAction_49 .mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/NoAction_107 .mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_130 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/NoAction_123 .mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/NoAction_116 .mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_39 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\death/death_52 .mp4,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/NoAction_108 .mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/NoAction_1 .mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\death/death_40 .mp4,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\death/death_59 .mp4,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_99 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_120 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\smoke/smoke_78 .mp4,smoke
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/weaponm4_09.mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/weaponmp7_100 (2).mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\death/death_60 .mp4,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\death/death_56 .mp4,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\death/death_114 .mp4,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_109 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_84 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\death/death_96 .mp4,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\smoke/smoke_70 .mp4,smoke
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\smoke/smoke_47 .mp4,smoke
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\death/death_98 .mp4,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/NoAction_94 .mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/weaponm4_05.mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/NoAction_80 .mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_64 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_29 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/NoAction_38 .mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\death/death_31 .mp4,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\death/death_18 .mp4,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_94 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/NoAction_35 .mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_25 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\smoke/smoke_65 .mp4,smoke
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_83 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\smoke/smoke_19 .mp4,smoke
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_48 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_1 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/NoAction_127 .mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/weaponp90_02.mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_3 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\death/death_109 .mp4,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/NoAction_124 .mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\death/death_38 .mp4,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\smoke/smoke_73 .mp4,smoke
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\smoke/smoke_17 .mp4,smoke
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/NoAction_44 .mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/weaponr8_02.mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\smoke/smoke_27 .mp4,smoke
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_37 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\death/death_35 .mp4,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/weaponbizon_02.mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\smoke/smoke_40 .mp4,smoke
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\death/death_6 .mp4,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\death/death_17 .mp4,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/weapon_p2000_01.mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\smoke/smoke_85 .mp4,smoke
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\smoke/smoke_4 .mp4,smoke
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/weaponmp7_100 (3).mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/NoAction_78 .mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/weaponr8_01.mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/NoAction_93 .mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\smoke/smoke_9 .mp4,smoke
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_43 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\death/death_61 .mp4,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\death/death_82 .mp4,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\smoke/smoke_3 .mp4,smoke
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_93 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_133 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\death/death_125 .mp4,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_17 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\death/death_71 .mp4,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_32 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/weaponm4_06.mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\smoke/smoke_99 .mp4,smoke
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\smoke/smoke_21 .mp4,smoke
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_138 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_30 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_125 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/weaponmp7_11.mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_143 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\smoke/smoke_34 .mp4,smoke
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_90 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_2 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/NoAction_53 .mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\death/death_93 .mp4,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/weaponmp7_19.mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\death/death_103 .mp4,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/weaponscar_01.mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\death/death_129 .mp4,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/NoAction_58 .mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\death/death_102 .mp4,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\death/death_120 .mp4,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/NoAction_113 .mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_72 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\smoke/smoke_5 .mp4,smoke
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\smoke/smoke_55 .mp4,smoke
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\death/death_94 .mp4,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_151 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/NoAction_17 .mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/NoAction_21 .mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_50 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_75 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\smoke/smoke_81 .mp4,smoke
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/weaponmp7_14.mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\death/death_9 .mp4,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/NoAction_16 .mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\death/death_44 .mp4,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\smoke/smoke_7 .mp4,smoke
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/NoAction_101 .mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_73 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/weaponsawedoff_01.mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/NoAction_13 .mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\smoke/smoke_100 .mp4,smoke
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/NoAction_14 .mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\death/death_11 .mp4,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_71 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\death/death_63 .mp4,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\smoke/smoke_41 .mp4,smoke
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/NoAction_74 .mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\smoke/smoke_45 .mp4,smoke
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_111 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/NoAction_9 .mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\death/death_121 .mp4,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/weaponm249_01.mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\smoke/smoke_38 .mp4,smoke
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/NoAction_66 .mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_85 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/weaponscar_02.mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_147 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/weaponm4_07.mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\smoke/smoke_36 .mp4,smoke
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_117 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_15 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\death/death_80 .mp4,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/NoAction_114 .mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\death/death_68 .mp4,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_121 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_132 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\death/death_119 .mp4,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/NoAction_50 .mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/NoAction_55 .mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_34 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/NoAction_106 .mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\death/death_86 .mp4,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\death/death_37 .mp4,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/NoAction_7 .mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/NoAction_131 .mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_23 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\smoke/smoke_25 .mp4,smoke
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\smoke/smoke_62 .mp4,smoke
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/weaponmp7_15.mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_142 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/NoAction_104 .mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/NoAction_56 .mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\smoke/smoke_84 .mp4,smoke
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\smoke/smoke_37 .mp4,smoke
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\smoke/smoke_105 .mp4,smoke
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\death/death_15 .mp4,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\smoke/smoke_71 .mp4,smoke
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\death/death_10 .mp4,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\death/death_74 .mp4,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_49 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/weaponscar_03.mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\smoke/smoke_33 .mp4,smoke
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\death/death_21 .mp4,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\death/death_117 .mp4,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_68 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\smoke/smoke_31 .mp4,smoke
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\death/death_43 .mp4,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/NoAction_109 .mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/weaponp2000_11.mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_141 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/NoAction_98 .mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_82 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\death/death_64 .mp4,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_124 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_42 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_19 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_102 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_47 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_89 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/NoAction_37 .mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_104 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\death/death_84 .mp4,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\death/death_85 .mp4,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_54 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\death/death_14 .mp4,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\death/death_23 .mp4,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_12 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\smoke/smoke_77 .mp4,smoke
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/NoAction_103 .mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/NoAction_10 .mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\smoke/smoke_43 .mp4,smoke
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/NoAction_71 .mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/NoAction_63 .mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\smoke/smoke_69 .mp4,smoke
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\death/death_126 .mp4,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\smoke/smoke_82 .mp4,smoke
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/NoAction_100 .mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\smoke/smoke_6 .mp4,smoke
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\death/death_57 .mp4,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\death/death_108 .mp4,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/NoAction_67 .mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\death/death_69 .mp4,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\smoke/smoke_53 .mp4,smoke
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\kill/kill_131 .mp4,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/weaponmp7_18.mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/NoAction_86 .mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\NoAction/NoAction_76 .mp4,NoAction
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\smoke/smoke_106 .mp4,smoke
