image,action
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_13 _frame1_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_130 _frame0_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_130 _frame1_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_130 _frame2_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_14 _frame0_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_14 _frame1_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_14 _frame2_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_15 _frame0_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_15 _frame1_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_17 _frame0_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_17 _frame1_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_17 _frame2_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_18 _frame0_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_18 _frame1_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_18 _frame2_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_2 _frame0_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_2 _frame1_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_2 _frame2_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_2 _frame3_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_21 _frame0_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_21 _frame1_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_21 _frame2_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_23 _frame0_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_23 _frame1_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_23 _frame2_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_27 _frame0_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_27 _frame1_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_27 _frame2_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_3 _frame0_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_3 _frame1_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_3 _frame2_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_3 _frame3_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_3 _frame4_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_3 _frame5_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_31 _frame0_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_31 _frame1_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_31 _frame2_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_31 _frame3_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_35 _frame0_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_35 _frame1_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_35 _frame2_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_37 _frame0_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_37 _frame1_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_37 _frame2_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_37 _frame3_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_38 _frame0_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_38 _frame1_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_38 _frame2_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_40 _frame0_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_40 _frame1_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_40 _frame2_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_43 _frame0_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_43 _frame1_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_43 _frame2_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_43 _frame3_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_44 _frame0_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_44 _frame1_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_44 _frame2_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_45 _frame0_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_45 _frame1_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_45 _frame2_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_45 _frame3_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_49 _frame0_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_49 _frame1_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_49 _frame2_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_5 _frame0_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_5 _frame1_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_51 _frame0_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_51 _frame1_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_51 _frame2_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_51 _frame3_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_52 _frame0_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_52 _frame1_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_56 _frame0_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_56 _frame1_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_56 _frame2_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_56 _frame3_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_57 _frame0_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_57 _frame1_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_57 _frame2_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_58 _frame0_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_58 _frame1_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_58 _frame2_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_58 _frame3_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_59 _frame0_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_59 _frame1_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_59 _frame2_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_59 _frame3_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_6 _frame0_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_6 _frame1_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_6 _frame2_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_60 _frame0_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_60 _frame1_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_60 _frame2_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_60 _frame3_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_60 _frame4_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_61 _frame0_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_61 _frame1_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_61 _frame2_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_63 _frame0_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_63 _frame1_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_63 _frame2_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_63 _frame3_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_64 _frame0_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_64 _frame1_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_64 _frame2_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_64 _frame3_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_64 _frame4_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_65 _frame0_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_65 _frame1_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_65 _frame2_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_67 _frame0_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_67 _frame1_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_67 _frame2_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_67 _frame3_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_68 _frame0_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_68 _frame1_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_68 _frame2_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_68 _frame3_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_68 _frame4_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_68 _frame5_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_69 _frame0_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_69 _frame1_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_69 _frame2_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_71 _frame0_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_71 _frame1_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_71 _frame2_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_72 _frame0_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_72 _frame1_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_72 _frame2_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_72 _frame3_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_73 _frame0_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_73 _frame1_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_73 _frame2_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_73 _frame3_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_74 _frame0_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_74 _frame1_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_74 _frame2_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_74 _frame3_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_76 _frame0_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_76 _frame1_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_76 _frame2_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_76 _frame3_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_77 _frame0_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_77 _frame1_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_77 _frame2_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_77 _frame3_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_77 _frame4_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_79 _frame0_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_79 _frame1_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_79 _frame2_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_80 _frame0_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_80 _frame1_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_80 _frame2_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_80 _frame3_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_82 _frame0_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_82 _frame1_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_82 _frame2_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_83 _frame0_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_83 _frame1_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_84 _frame0_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_84 _frame1_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_85 _frame0_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_85 _frame1_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_86 _frame0_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_86 _frame1_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_86 _frame2_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_9 _frame0_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_9 _frame1_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_9 _frame2_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_90 _frame0_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_90 _frame1_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_90 _frame2_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_90 _frame3_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_92 _frame0_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_92 _frame1_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_92 _frame2_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_93 _frame0_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_93 _frame1_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_93 _frame2_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_94 _frame0_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_94 _frame1_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_94 _frame2_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_94 _frame3_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_96 _frame0_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_96 _frame1_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_96 _frame2_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_97 _frame0_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_97 _frame1_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_98 _frame0_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\death_98 _frame1_death.jpg,death
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\kill_1 _frame0_kill.jpg,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\kill_1 _frame1_kill.jpg,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\kill_1 _frame2_kill.jpg,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\kill_1 _frame3_kill.jpg,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\kill_101 _frame0_kill.jpg,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\kill_101 _frame1_kill.jpg,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\kill_101 _frame2_kill.jpg,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\kill_102 _frame0_kill.jpg,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\kill_102 _frame1_kill.jpg,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\kill_102 _frame2_kill.jpg,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\kill_104 _frame0_kill.jpg,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\kill_104 _frame1_kill.jpg,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\kill_104 _frame2_kill.jpg,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\kill_104 _frame3_kill.jpg,kill
F:/Personal/CSGO-Video-Analysis/Video Analysis/Data\train_frames\kill_105 _frame0_kill.jpg,kill
